Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
ZOGRIZ,6.11909,5.67206,6.11909,3676.27,1.37095,1756.49,1281.22,0.0,0.0,1372.79,0.37342,0.27238,0.0,0.0,0.0
ZOGROF,6.06819,5.50317,6.06153,3763.84,1.22626,1898.07,1547.85,0.0,0.0,1579.31,0.4196,0.342178,0.0,0.0,0.0
SOLHUZ,12.6412,12.10773,12.6412,7181.09,1.2031,1329.37,1104.95,0.0,0.0,3280.46,0.45682,0.379703,0.0,0.0,0.0
SOLHOT,6.41569,5.44121,6.41569,4232.35,1.82144,1067.19,585.904,0.0,0.0,1002.31,0.23682,0.130018,0.0,0.0,0.0
VIBFAQ,13.72309,13.63939,13.72309,15354.7,1.03797,1452.24,1399.11,0.0,0.0,8063.08,0.52512,0.505911,0.0,0.0,0.0
WUTBAQ,5.34522,4.688,5.33938,8154.74,1.92431,1892.59,983.513,0.0,0.0,2966.86,0.36382,0.189065,0.0,0.0,0.0
APULOP,2.51516,1.22645,2.48896,1555.3,1.91864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGARAC,1.89835,1.00748,1.88725,1232.3,1.99474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIYNAB,1.66246,0.87578,1.60347,434.349,2.42382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEGJIH,1.95293,1.16954,1.9349,607.617,2.15979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIROV,2.22752,1.79866,2.22007,1943.76,1.58651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOQMUS,4.49044,3.058,4.44801,4138.52,1.51058,1336.22,884.577,3.44725,2.28208,1166.65,0.2819,0.186618,10.5946,0.00256,0.00169472
ANAGUS,4.66616,3.06148,4.65496,4894.57,1.37137,1019.89,743.704,0.0,0.0,1086.89,0.22206,0.161926,0.0,0.0,0.0
AWORUA,2.38,0.92897,2.36318,4198.8,2.72022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAYOS,1.45533,0.64478,1.45533,825.862,3.21582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWEHIU,2.11407,1.17968,1.92631,1718.79,2.78188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZIGOF,2.78625,1.37127,2.77602,478.372,2.04163,0.0,0.0,8.49985,4.16326,0.0,0.0,0.0,10.7442,0.02246,0.011001
ATUYUK,12.44247,11.6144,12.43898,5588.99,0.720733,1334.7,1851.86,0.0,0.0,3285.54,0.58786,0.815642,0.0,0.0,0.0
AWEVUU,2.00671,1.13866,1.99557,942.91,2.8027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAFNUR,1.53764,0.62136,1.53191,653.616,2.70339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHEBOE,4.03381,2.31093,4.03252,1353.3,1.43474,0.0,0.0,378.731,263.971,0.0,0.0,0.0,156.008,0.11528,0.0803489
AJUKOH,2.06738,1.08417,1.78696,982.034,1.70877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAQKUD,6.25702,6.04089,6.25701,7433.39,2.10747,569.466,270.214,0.0,0.0,911.482,0.12262,0.0581836,0.0,0.0,0.0
BOMGIV,1.99876,1.38406,1.99876,1009.46,2.95267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAHPIL,1.83149,1.25153,1.6455,1943.61,2.24869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAFNUR01,1.48263,0.85148,1.48263,323.964,2.72713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOFZIH,2.65502,1.20774,2.09093,2662.45,2.36487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKEGIH,1.45213,0.79801,1.43217,344.131,2.64412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAYIM,1.2109,0.51751,1.2109,705.673,3.59396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARODIV,4.28205,3.43345,4.26711,1952.65,1.39857,1541.21,1101.99,0.0,0.0,599.229,0.30688,0.219424,0.0,0.0,0.0
AXIGEV,2.19885,1.00303,2.18872,2028.95,1.70335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APIXIH,3.60268,3.15707,3.60268,395.176,1.96657,468.308,238.134,0.0,0.0,56.2968,0.14246,0.0724408,0.0,0.0,0.0
BEHMEI,2.59676,1.33843,2.59676,2890.36,1.7292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIZQUX,5.11139,2.31447,5.09556,4089.22,1.98516,0.0,0.0,1647.78,830.052,0.0,0.0,0.0,1471.55,0.35986,0.181275
BAZBUB,1.74325,1.07342,1.60476,1942.85,2.4066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIXOB,2.85602,1.28265,2.54255,9354.33,1.81834,0.0,0.0,22.1422,12.1772,0.0,0.0,0.0,18.3345,0.00196,0.00107791
ALOPEZ,2.17562,1.54749,2.15017,503.401,2.19707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAYOS01,1.43609,0.70443,1.3412,820.6,3.23643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVOGAT01,1.7841,0.97791,1.76335,574.128,3.9427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIPMUL,4.7097,2.53908,4.70955,4506.54,2.39011,0.0,0.0,429.852,179.846,0.0,0.0,0.0,436.954,0.09696,0.0405671
AWEHOA,1.78808,0.85529,1.5525,685.413,2.91158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJINUE,2.42151,1.43421,2.42151,8773.74,1.96538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGIJAD,2.62244,1.88994,2.61326,1621.81,2.3018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOQNOL,3.70837,1.14969,3.61151,4134.09,2.03271,0.0,0.0,139.47,68.6128,0.0,0.0,0.0,172.97,0.04184,0.0205833
AVOZUI,2.44855,1.43745,2.3753,2351.72,1.94074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOFDOQ,2.03091,1.41182,1.89543,952.281,1.72372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQOBAL,3.56657,3.03316,3.56657,1269.97,1.94065,339.57,174.978,0.0,0.0,104.645,0.0824,0.04246,0.0,0.0,0.0
AWEHAM,1.59492,0.82441,1.57388,683.583,2.60422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIPNAS,4.89855,4.00862,4.89748,3240.26,3.10185,667.661,215.246,1.95202,0.62931,463.357,0.143,0.0461016,0.0,0.0,0.0
ADASUW,4.70573,3.00424,4.70382,3628.29,1.57516,1082.23,687.065,0.0,0.0,863.532,0.238,0.151096,0.0,0.0,0.0
AVOFUM,1.32025,0.72471,1.32025,383.13,3.29266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOYEQ,2.87959,0.87045,2.86737,1228.36,2.52993,0.0,0.0,65.6547,25.9512,0.0,0.0,0.0,85.8871,0.06992,0.0276372
