Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
ACAZAG,1.82118,0.98717,1.82118,590.006,2.79049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQAWAQ01,2.97729,2.32379,2.97312,795.27,2.03789,0.0,0.0,147.013,72.1399,0.0,0.0,0.0,82.8671,0.1042,0.0511313
ACAZEK,1.67291,0.95578,1.30678,798.786,3.62252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEQRUM,2.90225,1.48863,2.87381,881.668,1.69979,0.0,0.0,42.4733,24.9873,0.0,0.0,0.0,18.8501,0.02138,0.012578
AREWOK,2.53021,1.54598,2.27868,3387.38,1.63628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BECQAD,3.21316,1.01417,3.21316,762.626,1.96676,0.0,0.0,81.168,41.2698,0.0,0.0,0.0,29.7424,0.039,0.0198295
AMUTEI,3.01929,1.69959,3.00825,2094.24,1.54999,0.0,0.0,41.7733,26.9508,0.0,0.0,0.0,44.7749,0.02138,0.0137937
AQAWAQ,3.1357,2.38321,3.1357,791.076,2.04869,0.0,0.0,180.123,87.921,0.0,0.0,0.0,88.1733,0.11146,0.0544054
AMBZAG10,2.32181,1.18814,2.31351,1504.81,2.15399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXIXAJ,3.81123,3.43961,3.8005,1491.7,1.91493,789.284,412.173,0.0,0.0,237.897,0.15948,0.0832822,0.0,0.0,0.0
AHOHAJ,2.75876,1.23046,2.63767,3368.79,1.69665,0.0,0.0,0.974951,0.574632,0.0,0.0,0.0,0.0,0.0,0.0
AWEJAO,1.6897,1.04561,1.68885,1022.94,3.14244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWUYIC,2.07745,1.15015,2.07745,1776.69,1.80608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPYRZ02,1.79777,0.84644,1.60778,315.476,2.6314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQAVIX,4.45412,3.62483,4.45302,1491.18,2.24943,2019.1,897.604,0.0,0.0,588.868,0.3949,0.175556,0.0,0.0,0.0
DAQSOD01,1.35834,0.70691,1.34936,915.324,3.04658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFFEC01,2.73775,1.96536,2.73199,1382.2,2.06664,0.0,0.0,4.63486,2.2427,0.0,0.0,0.0,0.0,0.0,0.0
DAQSOD,1.40395,0.73376,1.19242,926.827,3.00876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAPJUB,2.71973,1.54403,2.71973,1053.01,1.88041,0.0,0.0,2.68111,1.42581,0.0,0.0,0.0,0.0,0.0,0.0
DAFVAK,2.03314,0.93345,1.79512,849.361,1.95909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFFEC,2.85633,2.04406,2.84878,1407.22,2.0299,0.0,0.0,23.9612,11.8041,0.0,0.0,0.0,12.7213,0.00904,0.00445342
DONHAR,1.98867,1.05728,1.86989,1980.82,1.81154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOPTIM,2.12099,1.1843,1.75764,843.153,2.41386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DILGIP,1.93848,1.1837,1.70072,966.335,2.08993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJUJAW,2.39166,1.71936,2.38821,904.096,1.9029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKUZOC,1.97475,1.14344,1.97475,2345.94,2.62696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EQOKAW,3.26839,2.82122,3.26839,3057.79,1.70781,139.278,81.554,9.68403,5.67045,144.206,0.04716,0.0276144,0.0,0.0,0.0
DOMHAR,2.12842,0.85718,1.95338,449.748,2.26024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
