CSD Refcode,largest_cavity_diameter,pore_limitinig_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
ACAZAG,1.82118,0.98717,1.82118,590.006,2.79049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQAWAQ01,2.97729,2.32379,2.97312,795.27,2.03789,0.0,0.0,147.013,72.1399,0.0,0.0,0.0,82.8671,0.1042,0.0511313
ACAZEK,1.67291,0.95578,1.30678,798.786,3.62252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEQRUM,2.90225,1.48863,2.87381,881.668,1.69979,0.0,0.0,42.4733,24.9873,0.0,0.0,0.0,18.8501,0.02138,0.012578
BAQKUD,6.25702,6.04089,6.25701,7433.39,2.10747,569.466,270.214,0.0,0.0,911.482,0.12262,0.0581836,0.0,0.0,0.0
AREWOK,2.53021,1.54598,2.27868,3387.38,1.63628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMUTEI,3.01929,1.69959,3.00825,2094.24,1.54999,0.0,0.0,41.7733,26.9508,0.0,0.0,0.0,44.7749,0.02138,0.0137937
AQAWAQ,3.1357,2.38321,3.1357,791.076,2.04869,0.0,0.0,180.123,87.921,0.0,0.0,0.0,88.1733,0.11146,0.0544054
AKEGIH,1.45213,0.79801,1.43217,344.131,2.64412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBZAG10,2.32181,1.18814,2.31351,1504.81,2.15399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXIXAJ,3.81123,3.43961,3.8005,1491.7,1.91493,789.284,412.173,0.0,0.0,237.897,0.15948,0.0832822,0.0,0.0,0.0
AHOHAJ,2.75876,1.23046,2.63767,3368.79,1.69665,0.0,0.0,0.974951,0.574632,0.0,0.0,0.0,0.0,0.0,0.0
AWEJAO,1.6897,1.04561,1.68885,1022.94,3.14244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWEHOA,1.78808,0.85529,1.5525,685.413,2.91158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWUYIC,2.07745,1.15015,2.07745,1776.69,1.80608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPYRZ02,1.79777,0.84644,1.60778,315.476,2.6314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWEHAM,1.59492,0.82441,1.57388,683.583,2.60422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQAVIX,4.45412,3.62483,4.45302,1491.18,2.24943,2019.1,897.604,0.0,0.0,588.868,0.3949,0.175556,0.0,0.0,0.0
DAQSOD01,1.35834,0.70691,1.34936,915.324,3.04658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIPDEM,2.21536,1.11027,2.09755,2232.56,2.21363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFFEC01,2.73775,1.96536,2.73199,1382.2,2.06664,0.0,0.0,4.63486,2.2427,0.0,0.0,0.0,0.0,0.0,0.0
DAQSOD,1.40395,0.73376,1.19242,926.827,3.00876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAFVIS,1.77288,1.09431,1.7284,1747.58,2.59949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAPJUB,2.71973,1.54403,2.71973,1053.01,1.88041,0.0,0.0,2.68111,1.42581,0.0,0.0,0.0,0.0,0.0,0.0
CUTNEL,3.60391,1.34293,3.60099,1630.53,1.89673,0.0,0.0,190.121,100.236,0.0,0.0,0.0,106.311,0.0652,0.0343749
DEFFEC,2.85633,2.04406,2.84878,1407.22,2.0299,0.0,0.0,23.9612,11.8041,0.0,0.0,0.0,12.7213,0.00904,0.00445342
CABNEB,3.35154,1.35658,2.64361,4163.87,1.99154,0.0,0.0,65.7823,33.0309,0.0,0.0,0.0,95.436,0.02292,0.0115087
CITZOW,2.899,1.25277,2.77872,2011.93,1.70086,0.0,0.0,6.17544,3.63077,0.0,0.0,0.0,25.3905,0.01262,0.00741977
